[2023-05-31 15:52:47,419][__main__][INFO] - Epoch: 0, kld loss: 0.012771916575729847, nll loss: 4.4072113037109375, loss: 4.419983386993408, time: 1.2107369899749756s
[2023-05-31 15:52:49,708][__main__][INFO] - Epoch: 20, kld loss: 0.05512562394142151, nll loss: 4.020912170410156, loss: 4.076037883758545, time: 0.49694061279296875s
[2023-05-31 15:52:51,965][__main__][INFO] - Epoch: 40, kld loss: 0.034691281616687775, nll loss: 3.961833953857422, loss: 3.996525287628174, time: 0.5739843845367432s
[2023-05-31 15:52:54,376][__main__][INFO] - Epoch: 60, kld loss: 0.03866981714963913, nll loss: 3.9240622520446777, loss: 3.9627320766448975, time: 0.4669513702392578s
[2023-05-31 15:52:56,724][__main__][INFO] - Epoch: 80, kld loss: 0.05765292048454285, nll loss: 3.804857015609741, loss: 3.8625099658966064, time: 0.49863529205322266s
[2023-05-31 15:52:58,913][__main__][INFO] - Epoch: 100, kld loss: 0.042735904455184937, nll loss: 3.779444694519043, loss: 3.8221805095672607, time: 0.4526076316833496s
[2023-05-31 15:53:01,784][__main__][INFO] - Epoch: 120, kld loss: 0.03840344399213791, nll loss: 3.768505811691284, loss: 3.8069093227386475, time: 0.709212064743042s
[2023-05-31 15:53:03,845][__main__][INFO] - Epoch: 140, kld loss: 0.03695773705840111, nll loss: 3.7624850273132324, loss: 3.799442768096924, time: 0.5873820781707764s
[2023-05-31 15:53:06,007][__main__][INFO] - Epoch: 160, kld loss: 0.035136714577674866, nll loss: 3.7596166133880615, loss: 3.794753313064575, time: 0.46803879737854004s
[2023-05-31 15:53:08,141][__main__][INFO] - Epoch: 180, kld loss: 0.034253090620040894, nll loss: 3.755622386932373, loss: 3.7898755073547363, time: 0.4441511631011963s
[2023-05-31 15:53:09,862][__main__][INFO] - Epoch: 200, kld loss: 0.03459892049431801, nll loss: 3.7511589527130127, loss: 3.7857577800750732, time: 0.4153165817260742s
[2023-05-31 15:53:11,993][__main__][INFO] - Epoch: 220, kld loss: 0.03419763594865799, nll loss: 3.7489075660705566, loss: 3.7831051349639893, time: 0.4282557964324951s
[2023-05-31 15:53:14,048][__main__][INFO] - Epoch: 240, kld loss: 0.0350465252995491, nll loss: 3.74306321144104, loss: 3.7781097888946533, time: 0.41515684127807617s
[2023-05-31 15:53:15,824][__main__][INFO] - Epoch: 260, kld loss: 0.03563254326581955, nll loss: 3.738548755645752, loss: 3.774181365966797, time: 0.4400475025177002s
[2023-05-31 15:53:18,073][__main__][INFO] - Epoch: 280, kld loss: 0.03779846429824829, nll loss: 3.7308859825134277, loss: 3.7686843872070312, time: 0.4591376781463623s
[2023-05-31 15:53:20,356][__main__][INFO] - Epoch: 300, kld loss: 0.03811480849981308, nll loss: 3.715383291244507, loss: 3.753498077392578, time: 0.6599640846252441s
[2023-05-31 15:53:22,075][__main__][INFO] - Epoch: 320, kld loss: 0.038504570722579956, nll loss: 3.7060744762420654, loss: 3.7445790767669678, time: 0.40993785858154297s
[2023-05-31 15:53:24,781][__main__][INFO] - Epoch: 340, kld loss: 0.03665207698941231, nll loss: 3.7044715881347656, loss: 3.741123676300049, time: 0.4476158618927002s
[2023-05-31 15:53:26,680][__main__][INFO] - Epoch: 360, kld loss: 0.03744542971253395, nll loss: 3.703371047973633, loss: 3.740816593170166, time: 0.47898173332214355s
[2023-05-31 15:53:29,252][__main__][INFO] - Epoch: 380, kld loss: 0.03569876030087471, nll loss: 3.702730894088745, loss: 3.738429546356201, time: 0.48834872245788574s
[2023-05-31 15:53:31,599][__main__][INFO] - Epoch: 400, kld loss: 0.03691605105996132, nll loss: 3.7015347480773926, loss: 3.738450765609741, time: 0.4466996192932129s
[2023-05-31 15:53:33,719][__main__][INFO] - Epoch: 420, kld loss: 0.036025043576955795, nll loss: 3.70003080368042, loss: 3.736055850982666, time: 0.41318559646606445s
[2023-05-31 15:53:36,278][__main__][INFO] - Epoch: 440, kld loss: 0.03624453768134117, nll loss: 3.699073553085327, loss: 3.735318183898926, time: 0.454906702041626s
[2023-05-31 15:53:38,489][__main__][INFO] - Epoch: 460, kld loss: 0.034740056842565536, nll loss: 3.700998306274414, loss: 3.7357382774353027, time: 0.4606046676635742s
[2023-05-31 15:53:40,915][__main__][INFO] - Epoch: 480, kld loss: 0.03495464101433754, nll loss: 3.6991703510284424, loss: 3.7341248989105225, time: 0.5910971164703369s
[2023-05-31 15:53:43,111][__main__][INFO] - Epoch: 500, kld loss: 0.03625556826591492, nll loss: 3.6949918270111084, loss: 3.7312474250793457, time: 0.46313929557800293s
[2023-05-31 15:53:45,848][__main__][INFO] - Epoch: 520, kld loss: 0.036231983453035355, nll loss: 3.6960935592651367, loss: 3.732325553894043, time: 0.5587770938873291s
[2023-05-31 15:53:47,769][__main__][INFO] - Epoch: 540, kld loss: 0.035159431397914886, nll loss: 3.696665048599243, loss: 3.7318243980407715, time: 0.4787302017211914s
[2023-05-31 15:53:50,104][__main__][INFO] - Epoch: 560, kld loss: 0.03357601910829544, nll loss: 3.6982412338256836, loss: 3.7318172454833984, time: 0.40831995010375977s
[2023-05-31 15:53:52,300][__main__][INFO] - Epoch: 580, kld loss: 0.03621288388967514, nll loss: 3.696687698364258, loss: 3.732900619506836, time: 0.6045436859130859s
[2023-05-31 15:53:54,289][__main__][INFO] - Epoch: 600, kld loss: 0.03621653839945793, nll loss: 3.694415807723999, loss: 3.7306323051452637, time: 0.42037272453308105s
[2023-05-31 15:53:56,490][__main__][INFO] - Epoch: 620, kld loss: 0.0359935499727726, nll loss: 3.6943864822387695, loss: 3.730380058288574, time: 0.5098826885223389s
[2023-05-31 15:53:58,223][__main__][INFO] - Epoch: 640, kld loss: 0.0349862277507782, nll loss: 3.6925747394561768, loss: 3.7275609970092773, time: 0.4170868396759033s
[2023-05-31 15:54:00,608][__main__][INFO] - Epoch: 660, kld loss: 0.03466014564037323, nll loss: 3.694169759750366, loss: 3.728829860687256, time: 0.5751957893371582s
[2023-05-31 15:54:02,386][__main__][INFO] - Epoch: 680, kld loss: 0.03564629331231117, nll loss: 3.6935720443725586, loss: 3.7292182445526123, time: 0.42437005043029785s
[2023-05-31 15:54:04,280][__main__][INFO] - Epoch: 700, kld loss: 0.034047771245241165, nll loss: 3.6943862438201904, loss: 3.7284340858459473, time: 0.4068150520324707s
[2023-05-31 15:54:06,297][__main__][INFO] - Epoch: 720, kld loss: 0.03503080829977989, nll loss: 3.6924333572387695, loss: 3.727464199066162, time: 0.6568617820739746s
[2023-05-31 15:54:07,993][__main__][INFO] - Epoch: 740, kld loss: 0.03570225089788437, nll loss: 3.691732168197632, loss: 3.7274343967437744, time: 0.4228520393371582s
[2023-05-31 15:54:10,146][__main__][INFO] - Epoch: 760, kld loss: 0.03621543198823929, nll loss: 3.694643020629883, loss: 3.730858564376831, time: 0.44922304153442383s
[2023-05-31 15:54:11,903][__main__][INFO] - Epoch: 780, kld loss: 0.03405943512916565, nll loss: 3.6928014755249023, loss: 3.726861000061035, time: 0.46616530418395996s
[2023-05-31 15:54:14,173][__main__][INFO] - Epoch: 800, kld loss: 0.033676281571388245, nll loss: 3.692333459854126, loss: 3.7260098457336426, time: 0.45129942893981934s
[2023-05-31 15:54:16,037][__main__][INFO] - Epoch: 820, kld loss: 0.035389792174100876, nll loss: 3.6927671432495117, loss: 3.7281570434570312, time: 0.44873499870300293s
[2023-05-31 15:54:18,276][__main__][INFO] - Epoch: 840, kld loss: 0.03449311852455139, nll loss: 3.6914806365966797, loss: 3.7259738445281982, time: 0.45734357833862305s
[2023-05-31 15:54:20,540][__main__][INFO] - Epoch: 860, kld loss: 0.03410176932811737, nll loss: 3.692368984222412, loss: 3.726470708847046, time: 0.6071665287017822s
[2023-05-31 15:54:22,847][__main__][INFO] - Epoch: 880, kld loss: 0.03426401689648628, nll loss: 3.6928791999816895, loss: 3.7271432876586914, time: 0.4986572265625s
[2023-05-31 15:54:24,989][__main__][INFO] - Epoch: 900, kld loss: 0.035072050988674164, nll loss: 3.691119909286499, loss: 3.726191997528076, time: 0.4130418300628662s
[2023-05-31 15:54:27,246][__main__][INFO] - Epoch: 920, kld loss: 0.03535408526659012, nll loss: 3.691662549972534, loss: 3.7270166873931885, time: 0.4006180763244629s
[2023-05-31 15:54:29,570][__main__][INFO] - Epoch: 940, kld loss: 0.03376477211713791, nll loss: 3.690857172012329, loss: 3.7246220111846924, time: 0.4079277515411377s
[2023-05-31 15:54:31,719][__main__][INFO] - Epoch: 960, kld loss: 0.03531152382493019, nll loss: 3.6882741451263428, loss: 3.723585605621338, time: 0.40848445892333984s
[2023-05-31 15:54:34,243][__main__][INFO] - Epoch: 980, kld loss: 0.03503110259771347, nll loss: 3.6911561489105225, loss: 3.726187229156494, time: 0.43145012855529785s
[2023-05-31 15:54:35,545][__main__][INFO] - Best auc val: 0.9117091930775221
[2023-05-31 15:54:35,545][__main__][INFO] - Best ap val: 0.9528409617459271
[2023-05-31 15:54:35,545][__main__][INFO] - Best auc test: 0.8805463036198998
[2023-05-31 15:54:35,545][__main__][INFO] - Best ap test: 0.9346249816993751
